longitude,latitude,vs_mean,vs_std,strain_azimuth,earthquake_occurred
49.9,34.4,3.499064840223564,0.0,107.3,0
50.0,34.4,3.499064840223564,0.0,107.3,0
50.1,34.4,3.499064840223564,0.0,107.3,0
50.2,34.4,3.499064840223564,0.0,107.3,0
50.3,34.4,3.499064840223564,0.0,96.64,0
50.400000000000006,34.4,3.499064840223564,0.0,96.64,0
50.50000000000001,34.4,3.499064840223564,0.0,96.64,0
50.60000000000001,34.4,3.499064840223564,0.0,96.64,0
50.70000000000001,34.4,3.499064840223564,0.0,96.64,0
50.80000000000001,34.4,3.499064840223564,0.0,96.64,0
50.90000000000001,34.4,3.499064840223564,0.0,96.64,0
51.000000000000014,34.4,3.499064840223564,0.0,96.64,0
51.100000000000016,34.4,3.499064840223564,0.0,96.64,0
51.20000000000002,34.4,3.499064840223564,0.0,96.64,0
51.30000000000002,34.4,3.499064840223564,0.0,107.27,0
51.40000000000002,34.4,3.499064840223564,0.0,107.27,0
51.50000000000002,34.4,3.499064840223564,0.0,107.27,0
51.60000000000002,34.4,3.499064840223564,0.0,107.27,0
51.70000000000002,34.4,3.499064840223564,0.0,107.27,0
51.800000000000026,34.4,3.499064840223564,0.0,107.27,0
51.90000000000003,34.4,3.499064840223564,0.0,107.27,0
52.00000000000003,34.4,3.499064840223564,0.0,107.27,0
52.10000000000003,34.4,3.499064840223564,0.0,107.27,0
52.20000000000003,34.4,3.499064840223564,0.0,107.27,0
52.30000000000003,34.4,3.499064840223564,0.0,107.27,0
52.400000000000034,34.4,3.499064840223564,0.0,102.28,0
52.50000000000004,34.4,3.499064840223564,0.0,102.28,0
52.60000000000004,34.4,3.499064840223564,0.0,102.28,0
52.70000000000004,34.4,3.499064840223564,0.0,102.28,0
52.80000000000004,34.4,3.499064840223564,0.0,102.28,0
52.90000000000004,34.4,3.499064840223564,0.0,102.28,0
53.00000000000004,34.4,3.499064840223564,0.0,102.28,0
53.10000000000005,34.4,3.499064840223564,0.0,102.28,0
53.200000000000045,34.4,3.499064840223564,0.0,102.28,0
53.30000000000005,34.4,3.499064840223564,0.0,102.28,0
53.40000000000005,34.4,3.499064840223564,0.0,102.28,0
53.50000000000005,34.4,3.499064840223564,0.0,94.88,0
53.60000000000005,34.4,3.499064840223564,0.0,94.88,0
53.70000000000005,34.4,3.499064840223564,0.0,94.88,0
53.80000000000005,34.4,3.499064840223564,0.0,94.88,0
53.900000000000055,34.4,3.499064840223564,0.0,94.88,0
54.00000000000006,34.4,3.499064840223564,0.0,94.88,0
54.10000000000006,34.4,3.499064840223564,0.0,94.88,0
49.9,34.5,3.499064840223564,0.0,107.3,0
50.0,34.5,3.537487333333333,0.2477830663287628,107.3,0
50.1,34.5,3.535345666666667,0.2488948090414532,20.84,0
50.2,34.5,3.531226,0.2527701242427573,20.84,0
50.3,34.5,3.5275443333333336,0.2570544036242737,20.84,0
50.400000000000006,34.5,3.524541666666668,0.2609504861423882,96.64,0
50.50000000000001,34.5,3.522504333333333,0.2655424532212594,96.64,0
50.60000000000001,34.5,3.521663,0.2717521978835038,96.64,0
50.70000000000001,34.5,3.5223606666666667,0.279052214434548,96.64,0
50.80000000000001,34.5,3.5246760000000004,0.2861664693576369,96.64,0
50.90000000000001,34.5,3.5274683333333328,0.2920469232534873,96.64,0
51.000000000000014,34.5,3.5288103333333334,0.2953363333996944,96.64,0
51.100000000000016,34.5,3.527629333333333,0.2948644034475677,96.64,0
51.20000000000002,34.5,3.524034,0.2938050165123795,96.64,0
51.30000000000002,34.5,3.5177344444444443,0.2914074028287717,107.27,0
51.40000000000002,34.5,3.5103853333333337,0.2887831782082115,107.27,0
51.50000000000002,34.5,3.503217777777777,0.2862618233143491,107.27,0
51.60000000000002,34.5,3.4961902222222228,0.2834920414895694,107.27,0
51.70000000000002,34.5,3.489122,0.2801746407809749,107.27,0
51.800000000000026,34.5,3.481821111111111,0.2755327259147044,107.27,0
51.90000000000003,34.5,3.475511333333334,0.2697526520742911,107.27,0
52.00000000000003,34.5,3.4727835555555555,0.2656363866819141,107.27,0
52.10000000000003,34.5,3.475569777777778,0.2669393169822548,107.27,0
52.20000000000003,34.5,3.4828824444444444,0.2744922264582251,107.27,0
52.30000000000003,34.5,3.4916615555555555,0.2850232996567838,107.27,0
52.400000000000034,34.5,3.4992037777777782,0.2944824186356019,102.28,0
52.50000000000004,34.5,3.5046704444444443,0.3011150139381225,102.28,0
52.60000000000004,34.5,3.508506888888889,0.3058859112637844,102.28,0
52.70000000000004,34.5,3.511346666666667,0.3106404167325866,102.28,0
52.80000000000004,34.5,3.512642222222222,0.315792186811478,102.28,0
52.90000000000004,34.5,3.5111104444444448,0.3202679550485537,102.28,0
53.00000000000004,34.5,3.506908888888889,0.323076705932751,102.28,0
53.10000000000005,34.5,3.500183777777778,0.3237562326117624,102.28,0
53.200000000000045,34.5,3.492917333333333,0.3231736198439299,102.28,0
53.30000000000005,34.5,3.4867937777777778,0.3221984408468445,102.28,0
53.40000000000005,34.5,3.4828462222222223,0.3210680634657997,102.28,0
53.50000000000005,34.5,3.479486222222222,0.3182783330212325,94.88,0
53.60000000000005,34.5,3.475031333333333,0.313111378847719,94.88,0
53.70000000000005,34.5,3.4700877777777777,0.3065458439422363,94.88,0
53.80000000000005,34.5,3.465369777777778,0.2998827492065281,94.88,0
53.900000000000055,34.5,3.463195,0.2968324066998482,94.88,0
54.00000000000006,34.5,3.46105,0.2941493730364186,94.88,0
54.10000000000006,34.5,3.499064840223564,0.0,94.88,0
49.9,34.6,3.499064840223564,0.0,20.84,0
50.0,34.6,3.537886666666666,0.2505369312802805,20.84,0
50.1,34.6,3.535012333333334,0.2520108804284306,20.84,0
50.2,34.6,3.5298948333333326,0.2557640221930876,20.84,0
50.3,34.6,3.5263075,0.2599043729892109,20.84,0
50.400000000000006,34.6,3.524123833333334,0.2642797933325816,20.84,0
50.50000000000001,34.6,3.522628,0.2693994287974531,112.99,0
50.60000000000001,34.6,3.5220371666666663,0.2756754676688326,112.99,0
50.70000000000001,34.6,3.5231678333333334,0.282568968959799,112.99,0
50.80000000000001,34.6,3.5258858333333336,0.2890625587205343,112.99,0
