longitude,latitude,vs_mean,vs_std,strain_azimuth,earthquake_occurred,susceptibility,dynamic_rate
49.9,34.4,3.499064840223564,0.0,107.3,0,0.0019027411,0.051563253156340624
50.0,34.4,3.499064840223564,0.0,107.3,0,0.0019027411,0.0570586666166868
50.1,34.4,3.499064840223564,0.0,107.3,0,0.0019027411,0.06334337280687331
50.2,34.4,3.499064840223564,0.0,107.3,0,0.0019027411,0.07055969372072621
50.3,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.07888000736967717
50.400000000000006,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.08851347910553164
50.50000000000001,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.09971445571536813
50.60000000000001,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.11279335362212681
50.70000000000001,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.12813098012887428
50.80000000000001,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.14619584611759695
50.90000000000001,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.16756004566794258
51.000000000000014,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.19290372770843586
51.100000000000016,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.22299341175478649
51.20000000000002,34.4,3.499064840223564,0.0,96.64,0,0.0019027411,0.25861494284191583
51.30000000000002,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.30043567474733507
51.40000000000002,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.3487634045916653
51.50000000000002,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.4031734703095671
51.60000000000002,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.4620458368383549
51.70000000000002,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.5222543348770536
51.800000000000026,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.5794491186630741
51.90000000000003,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.6292007328317175
52.00000000000003,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.6685544847385917
52.10000000000003,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.6969168060048052
52.20000000000003,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.7156098002921469
52.30000000000003,34.4,3.499064840223564,0.0,107.27,0,0.0019027411,0.7264438397333961
52.400000000000034,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.7303174402197795
52.50000000000004,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.7268257615889203
52.60000000000004,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.7148777822439782
52.70000000000004,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.6936097366318927
52.80000000000004,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.6630396550199569
52.90000000000004,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.6242684189814972
53.00000000000004,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.5792779224097055
53.10000000000005,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.5305041493907149
53.200000000000045,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.4803840026444962
53.30000000000005,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.4310153474487555
53.40000000000005,34.4,3.499064840223564,0.0,102.28,0,0.0019027411,0.38398142650055095
53.50000000000005,34.4,3.499064840223564,0.0,94.88,0,0.0019027411,0.3403208640771845
53.60000000000005,34.4,3.499064840223564,0.0,94.88,0,0.0019027411,0.30059220107445506
53.70000000000005,34.4,3.499064840223564,0.0,94.88,0,0.0019027411,0.264981015681455
53.80000000000005,34.4,3.499064840223564,0.0,94.88,0,0.0019027411,0.23341228361752914
53.900000000000055,34.4,3.499064840223564,0.0,94.88,0,0.0019027411,0.20564763426628918
54.00000000000006,34.4,3.499064840223564,0.0,94.88,0,0.0019027411,0.1813601389533851
54.10000000000006,34.4,3.499064840223564,0.0,94.88,0,0.0019027411,0.16018692548903884
49.9,34.5,3.499064840223564,0.0,107.3,0,0.0019027411,0.05380354981873516
50.0,34.5,3.537487333333333,0.2477830663287628,107.3,0,0.00018985894,0.05955243853219753
50.1,34.5,3.535345666666667,0.2488948090414532,20.84,0,0.0014892592,0.06649260494845627
50.2,34.5,3.531226,0.2527701242427573,20.84,0,0.0006896707,0.07428447177137568
50.3,34.5,3.5275443333333336,0.2570544036242737,20.84,0,0.027914701,0.08615166134207339
50.400000000000006,34.5,3.524541666666668,0.2609504861423882,96.64,0,6.874157e-05,0.09404534031342719
50.50000000000001,34.5,3.522504333333333,0.2655424532212594,96.64,0,7.375531e-05,0.10658017371213398
50.60000000000001,34.5,3.521663,0.2717521978835038,96.64,0,0.00021226773,0.1213855852266067
50.70000000000001,34.5,3.5223606666666667,0.279052214434548,96.64,0,0.017301109,0.140649390942075
50.80000000000001,34.5,3.5246760000000004,0.2861664693576369,96.64,0,0.010951796,0.16098413542890186
50.90000000000001,34.5,3.5274683333333328,0.2920469232534873,96.64,0,0.00046210203,0.1851671070894424
51.000000000000014,34.5,3.5288103333333334,0.2953363333996944,96.64,0,0.00030837453,0.21573328168362285
51.100000000000016,34.5,3.527629333333333,0.2948644034475677,96.64,0,0.002386091,0.2532105163987078
51.20000000000002,34.5,3.524034,0.2938050165123795,96.64,0,0.00054387125,0.29852156977292577
51.30000000000002,34.5,3.5177344444444443,0.2914074028287717,107.27,0,0.0017369145,0.35394074734470626
51.40000000000002,34.5,3.5103853333333337,0.2887831782082115,107.27,0,0.0015771864,0.42031188608494197
51.50000000000002,34.5,3.503217777777777,0.2862618233143491,107.27,0,0.0009577993,0.49804210077699584
51.60000000000002,34.5,3.4961902222222228,0.2834920414895694,107.27,0,0.00085303956,0.5854012412074618
51.70000000000002,34.5,3.489122,0.2801746407809749,107.27,0,0.004886115,0.6774531019071357
51.800000000000026,34.5,3.481821111111111,0.2755327259147044,107.27,0,0.0014479271,0.7641757333778142
51.90000000000003,34.5,3.475511333333334,0.2697526520742911,107.27,0,0.00035126475,0.836756941794819
52.00000000000003,34.5,3.4727835555555555,0.2656363866819141,107.27,0,0.0003164484,0.8889157306104103
52.10000000000003,34.5,3.475569777777778,0.2669393169822548,107.27,0,0.0003164484,0.920740328815802
52.20000000000003,34.5,3.4828824444444444,0.2744922264582251,107.27,0,0.0024980903,0.9376346144374863
52.30000000000003,34.5,3.4916615555555555,0.2850232996567838,107.27,0,0.00030892095,0.9450877820816987
52.400000000000034,34.5,3.4992037777777782,0.2944824186356019,102.28,0,0.013842569,0.9478620838343965
52.50000000000004,34.5,3.5046704444444443,0.3011150139381225,102.28,0,0.02914079,0.9432021079894006
52.60000000000004,34.5,3.508506888888889,0.3058859112637844,102.28,0,0.01131072,0.9244586628645212
52.70000000000004,34.5,3.511346666666667,0.3106404167325866,102.28,0,0.008844746,0.893935897723862
52.80000000000004,34.5,3.512642222222222,0.315792186811478,102.28,0,0.003914158,0.8493059267991244
52.90000000000004,34.5,3.5111104444444448,0.3202679550485537,102.28,0,0.00017427375,0.7926521640788878
53.00000000000004,34.5,3.506908888888889,0.323076705932751,102.28,0,0.00023122718,0.7276339459053696
53.10000000000005,34.5,3.500183777777778,0.3237562326117624,102.28,0,0.00028690085,0.6579854987239916
53.200000000000045,34.5,3.492917333333333,0.3231736198439299,102.28,0,0.00017060433,0.5876144653320278
53.30000000000005,34.5,3.4867937777777778,0.3221984408468445,102.28,0,0.00017060433,0.5197013777096249
53.40000000000005,34.5,3.4828462222222223,0.3210680634657997,102.28,0,1.5335741e-05,0.45637866761079304
53.50000000000005,34.5,3.479486222222222,0.3182783330212325,94.88,0,0.000109753215,0.39890564631590436
