50.025	37.475	0.000713764457032
50.075	37.475	0.000985726132058
50.125	37.475	0.00127584848087
50.175	37.475	0.00155480252579
50.225	37.475	0.0017769098049
50.275	37.475	0.00189650896937
50.325	37.475	0.00186940573622
50.375	37.475	0.001699995948
50.425	37.475	0.00144140748307
50.475	37.475	0.00114809384104
50.525	37.475	0.000874125864357
50.575	37.475	0.00064532761462
50.625	37.475	0.000460109004052
50.675	37.475	0.000315664859954
50.725	37.475	0.000209044505027
50.775	37.475	0.000135165450047
50.825	37.475	8.66492337082e-05
50.875	37.475	5.61359156563e-05
50.925	37.475	3.62786486221e-05
50.975	37.475	2.27120635827e-05
51.025	37.475	1.39114918056e-05
51.075	37.475	8.50617743708e-06
51.125	37.475	5.12717679158e-06
51.175	37.475	2.94703568215e-06
51.225	37.475	1.65310029843e-06
51.275	37.475	9.61214368544e-07
51.325	37.475	5.88101841004e-07
51.375	37.475	3.73693382016e-07
51.425	37.475	2.7596416885e-07
51.475	37.475	2.58931692088e-07
51.525	37.475	2.86955213369e-07
51.575	37.475	3.44998312585e-07
51.625	37.475	4.38144013515e-07
51.675	37.475	5.72301928514e-07
51.725	37.475	7.53786480345e-07
51.775	37.475	9.95537334347e-07
51.825	37.475	1.31753643018e-06
51.875	37.475	1.73975331563e-06
51.925	37.475	2.28360522669e-06
51.975	37.475	2.99463704323e-06
52.025	37.475	3.94399012293e-06
52.075	37.475	5.20278581462e-06
52.125	37.475	6.84679207552e-06
52.175	37.475	9.02666761249e-06
52.225	37.475	1.19728219943e-05
52.275	37.475	1.59154496941e-05
52.325	37.475	2.10873167816e-05
52.375	37.475	2.7692572985e-05
52.425	37.475	3.59133409802e-05
52.475	37.475	4.59277398477e-05
52.525	37.475	5.81558160775e-05
52.575	37.475	7.82069764682e-05
52.625	37.475	0.00011706091027
52.675	37.475	0.000185758312
52.725	37.475	0.000294193770969
52.775	37.475	0.000423326011514
52.825	37.475	0.000524563540239
52.875	37.475	0.000548783224076
52.925	37.475	0.000448398757726
52.975	37.475	0.000227205178817
53.025	37.475	-5.94988632656e-05
53.075	37.475	-0.0003550000838
53.125	37.475	-0.000601914653089
53.175	37.475	-0.000749078288209
53.225	37.475	-0.00074989546556
53.275	37.475	-0.000558750936761
53.325	37.475	-0.000131864246214
53.375	37.475	0.000517977925483
53.425	37.475	0.00132100936025
53.475	37.475	0.00220604147762
53.525	37.475	0.00310332980007
53.575	37.475	0.00400058785453
53.625	37.475	0.00494258990511
53.675	37.475	0.00597595004365
53.725	37.475	0.00714166462421
53.775	37.475	0.00834158901125
53.825	37.475	0.00933527760208
53.875	37.475	0.00987982843071
53.925	37.475	0.00973269250244
53.975	37.475	0.00874794553965
54.025	37.475	0.00687158619985
54.075	37.475	0.00405466835946
54.125	37.475	0.000265163311269
54.175	37.475	-0.00414365483448
54.225	37.475	-0.00842181220651
54.275	37.475	-0.0118138166144
54.325	37.475	-0.0135774379596
54.375	37.475	-0.0135353514925
54.425	37.475	-0.0120694097131
54.475	37.475	-0.00958045385778
54.525	37.475	-0.00647643953562
54.575	37.475	-0.00317304302007
54.625	37.475	-0.000107064122858
54.675	37.475	0.00229098671116
54.725	37.475	0.00360169936903
54.775	37.475	0.00380447157659
54.825	37.475	0.00327684450895
54.875	37.475	0.00240812310949
54.925	37.475	0.00158442731481
54.975	37.475	0.000980049488135
50.025	37.425	0.00111955939792
50.075	37.425	0.0015673978487
50.125	37.425	0.0020632520318
50.175	37.425	0.00255928258412
50.225	37.425	0.00297443452291
50.275	37.425	0.0032274951227
50.325	37.425	0.003239573678
50.375	37.425	0.00301198358648
50.425	37.425	0.00262628635392
50.475	37.425	0.00216632243246
50.525	37.425	0.00171551271342
50.575	37.425	0.00131742632948
50.625	37.425	0.00097718660254
50.675	37.425	0.000698090472724
50.725	37.425	0.000483144685859
50.775	37.425	0.000327832181938
50.825	37.425	0.00021996673604
50.875	37.425	0.000147217171616
50.925	37.425	9.72551861196e-05
50.975	37.425	6.23348096269e-05
51.025	37.425	3.9042566641e-05
51.075	37.425	2.42177557084e-05
51.125	37.425	1.4700974134e-05
51.175	37.425	8.51842651173e-06
51.225	37.425	4.81827419208e-06
51.275	37.425	2.81361076304e-06
51.325	37.425	1.71983617747e-06
51.375	37.425	1.09070776944e-06
51.425	37.425	8.03945624739e-07
51.475	37.425	7.53968095069e-07
51.525	37.425	8.3619607949e-07
51.575	37.425	1.00650925106e-06
51.625	37.425	1.27982207232e-06
51.675	37.425	1.6734751398e-06
51.725	37.425	2.20599667955e-06
51.775	37.425	2.91535479846e-06
51.825	37.425	3.86018109566e-06
51.875	37.425	5.0990715863e-06
51.925	37.425	6.69512337481e-06
